#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:true" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:true" spec="beast.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:true" name="popSize">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:true" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:true">
#                    <taxonset id="TaxonSet.true" spec="beast.evolution.alignment.TaxonSet">
#                    </taxonset>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="PopSizePrior.t:true" name="distribution" x="@popSize.t:true">
#            <OneOnX id="OneOnX.100" name="distr"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@true" id="treeLikelihood.true" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:true">
#            <siteModel id="SiteModel.s:true" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:true" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:true" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:true" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:true" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:true" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:true" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	NSlikelihood	posterior	likelihood	prior	treeLikelihood	TreeHeight	popSize	CoalescentConstant
0	-8475.000282399827	-8485.067995546537	-8475.000282399827	-10.067713146708334	-8475.000282399827	2.3537657071624194	2.276880148196892	-9.244906996850037
1	-8463.015452654248	-8473.665003062477	-8463.015452654248	-10.6495504082279	-8463.015452654248	3.349222477610724	1.9201096216483649	-9.99716812920952
2	-8317.76616671939	-8351.501073254432	-8317.76616671939	-33.73490653504286	-8317.76616671939	274.13694887222647	115.23389184032767	-28.98794263004656
3	-8317.766166719217	-8348.641523442888	-8317.766166719217	-30.875356723670677	-8317.766166719217	117.33836274348316	96.90869251125828	-26.30158750279876
4	-8316.977380037053	-8339.050845944364	-8316.977380037053	-22.0734659073107	-8316.977380037053	17.30605171840498	21.29006509671108	-19.015225370790866
5	-8305.659637752293	-8324.608267494526	-8305.659637752293	-18.94862974223409	-8305.659637752293	21.691717631999296	8.089401489652449	-16.858074995402006
6	-8304.716275135888	-8321.661616662994	-8304.716275135888	-16.945341527105306	-8304.716275135888	8.72051896100284	6.811033798909674	-15.026797612457957
7	-8295.11338338139	-8316.143586743225	-8295.11338338139	-21.030203361835294	-8295.11338338139	28.44980558362625	22.0317362666595	-17.937719390388168
8	-8293.352659782002	-8309.108766249115	-8293.352659782002	-15.756106467113192	-8293.352659782002	6.428150011135412	9.138029670386883	-13.54366167705389
9	-8291.263039176822	-8300.151711109149	-8291.263039176822	-8.88867193232755	-8291.263039176822	1.4596430133565743	1.3267865543950048	-8.605912038147798
10	-8286.287531664853	-8303.829699285987	-8286.287531664853	-17.542167621133153	-8286.287531664853	25.538994806949916	5.913048609118509	-15.765006083608057
11	-8255.286877495997	-8270.240390270084	-8255.286877495997	-14.953512774088104	-8255.286877495997	15.843586594331654	3.8354980446630558	-13.609213479470771
12	-8224.189884719015	-8234.61373860776	-8224.189884719015	-10.42385388874662	-8224.189884719015	1.320112707174027	2.32544827108785	-9.579941063522783
