#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:true" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:true" spec="beast.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:true" name="popSize">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:true" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:true">
#                    <taxonset id="TaxonSet.true" spec="beast.evolution.alignment.TaxonSet">
#                    </taxonset>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="PopSizePrior.t:true" name="distribution" x="@popSize.t:true">
#            <OneOnX id="OneOnX.100" name="distr"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@true" id="treeLikelihood.true" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:true">
#            <siteModel id="SiteModel.s:true" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:true" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:true" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:true" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:true" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:true" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:true" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	NSlikelihood	posterior	likelihood	prior	treeLikelihood	TreeHeight	popSize	CoalescentConstant
13	-8218.96082673592	-8232.972914583726	-8218.96082673592	-14.01208784780661	-8218.96082673592	1.227999197380539	7.224082132835922	-12.03466766231637
14	-8211.637811752933	-8222.269198906435	-8211.637811752933	-10.63138715350215	-8211.637811752933	1.0933596845465205	1.5105005208400655	-10.2189460868446
15	-8209.843033152625	-8225.506099871653	-8209.843033152625	-15.663066719027224	-8209.843033152625	1.095154514009555	11.21815668102361	-13.245533121108359
16	-8207.476351450832	-8219.783622602574	-8207.476351450832	-12.307271151741908	-8207.476351450832	1.0946719213170553	4.905981517224711	-10.716815973294544
17	-8204.166484382893	-8215.423622219083	-8204.166484382893	-11.257137836190623	-8204.166484382893	1.0539024144068316	3.373099174875635	-10.041305877971274
18	-8202.716270395817	-8213.348654631016	-8202.716270395817	-10.632384235199767	-8202.716270395817	1.0067727130669355	1.675199810067319	-10.116451787444745
19	-8202.251625275745	-8212.822731893226	-8202.251625275745	-10.57110661748049	-8202.251625275745	1.0077193079409295	2.2112486339928217	-9.777549268742211
20	-8202.110377415627	-8213.090559966304	-8202.110377415627	-10.980182550676183	-8202.110377415627	0.997422575044586	3.172990581423596	-9.825508006430114
21	-8201.524696584525	-8212.18936464943	-8201.524696584525	-10.664668064904378	-8201.524696584525	1.0436768217627674	2.760619106600264	-9.649213096344337
22	-8201.403584926338	-8212.060447416645	-8201.403584926338	-10.656862490305693	-8201.403584926338	1.029441708390669	2.2030615962937805	-9.86701446268854
23	-8201.305412179965	-8211.86079921953	-8201.305412179965	-10.55538703956515	-8201.305412179965	1.0320824647102378	2.625436135754104	-9.590140010368495
24	-8201.225442708948	-8211.779030636006	-8201.225442708948	-10.553587927056945	-8201.225442708948	1.0467699022205355	2.337264546626466	-9.704606678665668
25	-8201.132460261751	-8211.777924390322	-8201.132460261751	-10.645464128571057	-8201.132460261751	1.0563742307278103	1.9912245229359797	-9.956714340918769
26	-8201.08181753581	-8214.381157579737	-8201.08181753581	-13.299340043927144	-8201.08181753581	1.0353182227310764	6.699858174282709	-11.397253685771775
27	-8201.002894647778	-8211.590876547032	-8201.002894647778	-10.587981899255185	-8201.002894647778	1.0189755899124944	1.9451251466439579	-9.922655581507145
28	-8200.901096528436	-8211.595334233523	-8200.901096528436	-10.694237705088097	-8200.901096528436	1.020724088378028	1.6400433322738102	-10.199515041482872
29	-8200.869483182443	-8211.959037270473	-8200.869483182443	-11.089554088030221	-8200.869483182443	1.0289461410465428	3.403694775852583	-9.864692547657636
30	-8200.867329756204	-8211.644769067938	-8200.867329756204	-10.777439311734751	-8200.867329756204	1.0289461410465428	2.8890170281096914	-9.716522996149058
31	-8200.865452020393	-8217.437610010933	-8200.865452020393	-16.572157990539836	-8200.865452020393	1.0321865062073146	13.533247375055069	-13.967008564217346
32	-8200.86494676244	-8211.666834435204	-8200.86494676244	-10.801887672763124	-8200.86494676244	1.0323040748095356	2.9392253819832446	-9.723741601644209
33	-8200.864063173349	-8211.711083239536	-8200.864063173349	-10.847020066187591	-8200.864063173349	1.0297906202749472	3.019365481232906	-9.741973362428094
34	-8200.862957364836	-8211.695769485701	-8200.862957364836	-10.832812120864762	-8200.862957364836	1.0310706643206449	2.9930236895602635	-9.73652797703713
35	-8200.862915599237	-8211.8497472998	-8200.862915599237	-10.98683170056429	-8200.862915599237	1.0310605114464957	3.243056411777053	-9.810315478454521
36	-8200.862858266571	-8211.408878737964	-8200.862858266571	-10.546020471392454	-8200.862858266571	1.0310605114464957	2.3461443098584733	-9.693247209899372
37	-8200.862806266763	-8211.395351634064	-8200.862806266763	-10.532545367301806	-8200.862806266763	1.0310605114464957	1.9829956928172812	-9.847936689820322
38	-8200.862753760168	-8211.40541243424	-8200.862753760168	-10.54265867407214	-8200.862753760168	1.0310605114464957	2.324110823224585	-9.699321149806103
