#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:twin" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:twin" name="birthDiffRate">1.0</parameter>
#            <tree id="Tree.t:twin">
#                <taxonset id="TaxonSet.twin" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:twin" name="distribution" x="@birthRate.t:twin">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="KappaPrior.s:twin" name="distribution">
#            <parameter id="kappa.s:twin" lower="0.0" name="x">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.1" lower="0.0" name="S" upper="Infinity">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="ucldStdevPrior.c:twin" name="distribution">
#            <parameter id="ucldStdev.c:twin" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.1" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@twin" id="treeLikelihood.twin" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:twin">
#            <siteModel id="SiteModel.s:twin" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:twin" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:twin" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:twin" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:twin" kappa="@kappa.s:twin" spec="beast.evolution.substitutionmodel.HKY">
#                    <frequencies id="estimatedFreqs.s:twin" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="4" id="freqParameter.s:twin" lower="0.0" name="frequencies" upper="1.0">0.25</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:twin" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:twin">
#                <LogNormal S="@ucldStdev.c:twin" id="LogNormalDistributionModel.c:twin" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.4" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="10" id="rateCategories.c:twin" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:twin" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	kappa	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	YuleModel	birthRate
0	-8343.276159384386	-8332.8190217482	-10.45713763618635	-8332.8190217482	3.6143155564587808	2.0	0.25	0.25	0.25	0.25	0.1	0.9789087664533511	0.004817612021413343	0.06821694221231839	-9.411141747332865	1.0
1000	-6361.4479130479485	-6354.224283061553	-7.223629986395337	-6354.224283061553	0.9033475431951778	1.129058009053713	0.25350506363049485	0.25	0.24649493636950512	0.25	0.2015849850347401	0.9837763839115359	0.015374720110651628	0.12678276047618012	-5.9437409203303515	4.486984064029561
2000	-6357.646961022862	-6354.608600250038	-3.0383607728249142	-6354.608600250038	0.9293579909167461	1.1249710320178574	0.25350506363049485	0.25006479677042504	0.24643013959908006	0.25	0.03024202083428919	1.0154011915027354	7.52078922455304E-4	0.027393735419256455	-3.0820829370168	2.657177957667849
3000	-6358.194045972096	-6354.179482600224	-4.01456337187204	-6354.179482600224	0.9073454926049973	1.1249710320178574	0.25350506363049485	0.25006479677042504	0.24643013959908006	0.25	0.03460137807990419	1.0127971992853146	6.007273804297165E-4	0.024398704693591792	-3.9848726315515828	3.6191609212745015
4000	-6363.3728632274115	-6356.094064430138	-7.2787987972732235	-6356.094064430138	0.9823760583001158	1.1249710320178574	0.2519275206137729	0.25006479677042504	0.24800768261580206	0.25	0.10789532162769648	1.0024370514843715	0.004520988256032068	0.06870706990770045	-6.533590665692577	4.482976163050042
5000	-6362.275448828553	-6356.800035222524	-5.4754136060289325	-6356.800035222524	1.20052137671663	1.1249710320178574	0.2519275206137729	0.25006479677042504	0.24254561890701218	0.2554620637087899	0.11222610840997582	0.9132448236856985	0.010913820422462197	0.11288364129332965	-4.700746717746293	2.8191382755333363
6000	-6359.085065135816	-6354.812653485326	-4.272411650489505	-6354.812653485326	0.9827319172385878	1.1249710320178574	0.2519275206137729	0.25006479677042504	0.24254561890701218	0.2554620637087899	0.09906073595905507	0.9300669480693894	0.005062389224080864	0.07563909757130012	-3.5896679776121485	2.6812204642491086
7000	-6357.25439007093	-6353.498484414677	-3.7559056562529247	-6353.498484414677	1.0438841061567117	1.1249710320178574	0.2414891899712477	0.25006479677042504	0.2537028454430221	0.25474316781530515	0.1291861646456942	0.9484471763149911	0.010341881205037177	0.10472571987183207	-2.872032927705659	1.3256470335022987
8000	-6357.956101835158	-6355.581323663641	-2.3747781715166862	-6355.581323663641	1.0267152961874468	1.1249710320178574	0.2414891899712477	0.2403480106247977	0.26341963158864945	0.25474316781530515	0.011372939831822845	0.9986366414704189	8.378261380400263E-5	0.009153669521585408	-2.9181779168726	1.6755958967909956
9000	-6355.407675334161	-6352.577297301035	-2.83037803312492	-6352.577297301035	0.9921382217280552	1.1249710320178574	0.2414891899712477	0.2403480106247977	0.26341963158864945	0.25474316781530515	0.03835216044376968	0.9775185930730992	0.0018534324142705193	0.04311660714803405	-2.7434827713798815	1.3055158585358861
10000	-6358.0631811216745	-6355.9829850175665	-2.08019610410818	-6355.9829850175665	0.9578742890352488	1.1249710320178574	0.2414891899712477	0.23684193066662312	0.2597087687854501	0.26196011057667906	0.0034328644745645087	0.9995721279884928	1.0798678546513654E-5	0.003286244079865038	-3.195873193656507	2.6738526904954547
