#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="CoalescentExponential.t:true" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ExponentialGrowth.t:true" spec="beast.evolution.tree.coalescent.ExponentialGrowth">
#                <parameter id="ePopSize.t:true" name="popSize">0.3</parameter>
#                <parameter id="growthRate.t:true" name="growthRate">3.0E-4</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:true" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:true">
#                    <taxonset id="TaxonSet.true" spec="beast.evolution.alignment.TaxonSet">
#                    </taxonset>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="ePopSizePrior.t:true" name="distribution" x="@ePopSize.t:true">
#            <OneOnX id="OneOnX.100" name="distr"/>
#        </prior>
#        <prior id="GrowthRatePrior.t:true" name="distribution" x="@growthRate.t:true">
#            <LaplaceDistribution id="LaplaceDistribution.101" name="distr">
#                <parameter estimate="false" id="RealParameter.200" name="mu">0.0</parameter>
#                <parameter estimate="false" id="RealParameter.201" name="scale">1.0</parameter>
#            </LaplaceDistribution>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@true" id="treeLikelihood.true" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:true">
#            <siteModel id="SiteModel.s:true" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:true" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:true" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:true" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:true" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:true" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:true" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	NSlikelihood	posterior	likelihood	prior	treeLikelihood	TreeHeight	CoalescentExponential	ePopSize	growthRate
0	-14322.617360524599	-14320.18174536556	-14322.617360524599	2.435615159038889	-14322.617360524599	0.25137568693181683	2.984881493917476	0.36008239834842465	-0.8775415437394589
1	-11012.224417038848	-11011.982453989238	-11012.224417038848	0.24196304960912585	-11012.224417038848	0.43887040912871805	0.8758747231929342	0.295068230842004	1.1613131514199735
2	-8912.076779111165	-8921.053032993452	-8912.076779111165	-8.976253882286413	-8912.076779111165	1.2744188449685228	-5.611730675199867	2.8318998504732344	1.6304282148538929
3	-8320.917736258734	-8332.580724614192	-8320.917736258734	-11.6629883554573	-8320.917736258734	0.8598403075889174	-3.237730633115638	25.72186962405268	4.4847689536057995
4	-8297.634866281996	-8320.344444967985	-8297.634866281996	-22.70957868598868	-8297.634866281996	23.539274898753746	-18.439584294941223	34.15705827189562	0.045877961437657655
5	-8290.104491107002	-8301.561280760561	-8290.104491107002	-11.456789653558424	-8290.104491107002	3.472531702962701	-9.98369177362193	2.0080831072909815	-0.08277011031041237
6	-8236.347491746428	-8249.418759071525	-8236.347491746428	-13.071267325095528	-8236.347491746428	1.373949867504955	-10.577203770310614	5.186921950837599	0.15477592604090185
7	-8223.951755226708	-8235.467777252277	-8223.951755226708	-11.51602202556931	-8223.951755226708	1.2312609318802776	-4.902343382661054	22.45267946452863	2.8091215027417444
8	-8223.268208004127	-8237.195653011195	-8223.268208004127	-13.927445007068478	-8223.268208004127	1.274786026891221	-7.058527155472916	41.17950182557774	2.457830066993904
9	-8207.427154798186	-8221.087208513567	-8207.427154798186	-13.660053715381101	-8207.427154798186	1.1332085012499487	-2.2803240594825973	153.67842531040512	5.6517202034793925
10	-8205.474349222925	-8217.105532515432	-8205.474349222925	-11.63118329250836	-8205.474349222925	1.0951130480520381	-2.7338859354782996	50.277082687600085	4.286600815759929
11	-8205.05642611565	-8217.630134757299	-8205.05642611565	-12.573708641648711	-8205.05642611565	1.1374038588008792	-0.8885410285943092	141.15025256709936	6.0421954884441025
12	-8201.10394650283	-8213.152067714565	-8201.10394650283	-12.048121211735246	-8201.10394650283	1.054508434907883	-3.5369146146771953	44.91225991263545	4.013348609741881
13	-8201.09373657987	-8216.28519117265	-8201.09373657987	-15.191454592779387	-8201.09373657987	1.0488135844033646	0.1653860820714712	703.8482114965158	8.107130770049483
