Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	kappa1	kappa2	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	YuleModel	birthRate	
0	-6366.278763498461	-6360.733662321551	-5.545101176910487	-6360.733662321551	0.9379622139518439	0.7982668527738493	0.8413612301470009	0.25259416291360565	0.2176529266472095	0.2677032706714363	0.2620496397677486	-2.738440876559894	1.112469783690979	
1	-6362.6843259651605	-6356.982000706124	-5.702325259036468	-6356.982000706124	1.0515806177606148	0.9672809885821929	0.933045426122957	0.26151405441500725	0.21975557277164098	0.2699054363916751	0.2488249364216768	-2.8131944557612734	1.5824092091160766	
2	-6362.6843259651605	-6356.982000706124	-5.702325259036468	-6356.982000706124	1.0515806177606148	0.9672809885821929	0.933045426122957	0.26151405441500725	0.21975557277164098	0.2699054363916751	0.2488249364216768	-2.8131944557612734	1.5824092091160766	
3	-6363.409412043229	-6356.967625588481	-6.441786454748912	-6356.967625588481	1.0094004532066456	1.015105000411468	0.9718109713494042	0.2646897032638737	0.2211067548291309	0.2739397286118121	0.24026381329518343	-3.5221854133157384	2.649753823203576	
4	-6363.409412043229	-6356.967625588481	-6.441786454748912	-6356.967625588481	1.0094004532066456	1.015105000411468	0.9718109713494042	0.2646897032638737	0.2211067548291309	0.2739397286118121	0.24026381329518343	-3.5221854133157384	2.649753823203576	
5	-6361.507927905617	-6355.283251027222	-6.2246768783954165	-6355.283251027222	1.041913490185176	0.9440393028743775	0.9868394677102401	0.2646897032638737	0.2303878428435936	0.2723185629060664	0.23260389098646642	-3.3248960618410255	0.9406704575108662	
6	-6361.507927905617	-6355.283251027222	-6.2246768783954165	-6355.283251027222	1.041913490185176	0.9440393028743775	0.9868394677102401	0.2646897032638737	0.2303878428435936	0.2723185629060664	0.23260389098646642	-3.3248960618410255	0.9406704575108662	
7	-6361.815947042777	-6355.059492790352	-6.756454252424772	-6355.059492790352	0.9771829884212088	0.8886431198107642	0.9158688948489047	0.24337477849237016	0.2317800048453412	0.27784419824364565	0.24700101841864308	-3.8994974442818573	3.2558222665630554	
8	-6357.27154995063	-6352.043344412988	-5.228205537642638	-6352.043344412988	0.8859320296248296	0.8706096394737882	0.9530841337907352	0.25286501336311845	0.24674072897662175	0.25829970134915003	0.24209455631110985	-2.364339630462557	2.188413871562012	
