Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	kappa1	kappa2	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	YuleModel	birthRate	
0	-8194.80757148334	-8185.42386541237	-9.38370607096969	-8185.42386541237	1.0144695982886216	0.9947718568511054	1.2266883668391295	0.25352572511305477	0.25657696811732816	0.25213929855630424	0.23775800821331275	-6.37450695216784	1.725932642173334	
1	-8191.387509869801	-8182.873722041222	-8.513787828578774	-8182.873722041222	0.9664984153266956	0.8865535182183222	0.6824013254470174	0.2567416024023018	0.2751091225037918	0.2354440276373513	0.2327052474565549	-5.7191729682129395	1.2333951158600969	
2	-8190.224484559875	-8181.354347097679	-8.870137462195979	-8181.354347097679	0.9840773962923224	0.9360950850636054	0.7668745776172853	0.2532456896430219	0.26354642633287845	0.24472080706010754	0.23848707696399196	-6.041361713613393	1.635712279057802	
3	-8190.224484559875	-8181.354347097679	-8.870137462195979	-8181.354347097679	0.9840773962923224	0.9360950850636054	0.7668745776172853	0.2532456896430219	0.26354642633287845	0.24472080706010754	0.23848707696399196	-6.041361713613393	1.635712279057802	
4	-8190.224484559875	-8181.354347097679	-8.870137462195979	-8181.354347097679	0.9840773962923224	0.9360950850636054	0.7668745776172853	0.2532456896430219	0.26354642633287845	0.24472080706010754	0.23848707696399196	-6.041361713613393	1.635712279057802	
5	-8190.224484559875	-8181.354347097679	-8.870137462195979	-8181.354347097679	0.9840773962923224	0.9360950850636054	0.7668745776172853	0.2532456896430219	0.26354642633287845	0.24472080706010754	0.23848707696399196	-6.041361713613393	1.635712279057802	
6	-8188.781307771168	-8180.4310794748735	-8.350228296294562	-8180.4310794748735	1.0508649758833803	0.6110904860846769	0.7433113673982884	0.2604873719146177	0.2574608772935136	0.24798102130461439	0.23407072948725416	-5.604378536366374	0.7467105768742242	
7	-8188.781307771168	-8180.4310794748735	-8.350228296294562	-8180.4310794748735	1.0508649758833803	0.6110904860846769	0.7433113673982884	0.2604873719146177	0.2574608772935136	0.24798102130461439	0.23407072948725416	-5.604378536366374	0.7467105768742242	
8	-8186.530761676215	-8178.3437591448355	-8.18700253137946	-8178.3437591448355	0.973970439761699	0.9301367914165553	0.7716857731821126	0.25756498713401416	0.26248928543065253	0.24493467608363567	0.2350110513516975	-5.35904102027316	0.8669847592800197	
