Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	kappa1	kappa2	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	YuleModel	birthRate	
0	-6471.884181940206	-6466.139020999971	-5.745160940235447	-6466.139020999971	1.0192495115014863	0.8449550240375217	1.0998616873863776	0.2656724478867893	0.24845643334789166	0.2617863464402846	0.22408477232503474	-2.8353985396032444	2.0078706380693787	
1	-6471.2266165876745	-6465.248063256144	-5.978553331531072	-6465.248063256144	1.0375572905518013	0.8886700209859268	1.2022961777332284	0.261629901212152	0.24933462793092262	0.2660326126216005	0.22300285823532515	-3.0152364595622427	1.147121786866696	
2	-6469.521783215049	-6463.604914875281	-5.91686833976841	-6463.604914875281	1.038544027410382	0.8886700209859268	1.2838025865134604	0.2552886422699058	0.24888684752170306	0.2520513629268752	0.24377314728151625	-2.92082706270398	1.2995773824448	
3	-6469.521783215049	-6463.604914875281	-5.91686833976841	-6463.604914875281	1.038544027410382	0.8886700209859268	1.2838025865134604	0.2552886422699058	0.24888684752170306	0.2520513629268752	0.24377314728151625	-2.92082706270398	1.2995773824448	
4	-6469.521783215049	-6463.604914875281	-5.91686833976841	-6463.604914875281	1.038544027410382	0.8886700209859268	1.2838025865134604	0.2552886422699058	0.24888684752170306	0.2520513629268752	0.24377314728151625	-2.92082706270398	1.2995773824448	
5	-6469.521783215049	-6463.604914875281	-5.91686833976841	-6463.604914875281	1.038544027410382	0.8886700209859268	1.2838025865134604	0.2552886422699058	0.24888684752170306	0.2520513629268752	0.24377314728151625	-2.92082706270398	1.2995773824448	
6	-6468.589006498638	-6462.579939203676	-6.009067294961421	-6462.579939203676	1.127075722663482	0.794625373281626	0.9205468894111647	0.24982767303657377	0.24770029328117724	0.26159101772159077	0.24088101596065856	-3.1783607886923684	1.3498472068729161	
7	-6467.469554240147	-6461.6870842950075	-5.782469945139147	-6461.6870842950075	1.0319425193627068	0.8509806897902992	0.9205468894111647	0.2594298045559789	0.2527410998361928	0.2540812935473303	0.23374780206049842	-2.9356752645910102	1.8748779359268524	
