"","site_model_name","clock_model_name","tree_prior_name","marg_log_lik","marg_log_lik_sd","weight"
"1","GTR","relaxed_log_normal","birth_death",-7413.54722877706,5.80352831152261,2.00368922593604e-12
"2","GTR","relaxed_log_normal","coalescent_bayesian_skyline",-7410.44760587107,6.1444687942558,4.44610266721545e-11
"3","GTR","relaxed_log_normal","coalescent_constant_population",-7392.50523225922,4.64362203519216,0.00275583580810309
"4","GTR","relaxed_log_normal","coalescent_exp_population",-7420.37038686962,6.6534120091573,2.18057211564959e-15
"5","GTR","relaxed_log_normal","yule",-7409.23634690496,4.840721788166,0.000000000149287199847317
"6","GTR","strict","birth_death",-7407.90454521422,4.90747037483276,0.000000000565479281365237
"7","GTR","strict","coalescent_bayesian_skyline",-8014.59196445829,3.66349554526987,1.86817811245278e-273
"8","GTR","strict","coalescent_constant_population",-7416.37530671971,6.40999231308616,1.18470908276367e-13
"9","GTR","strict","coalescent_exp_population",-7429.44006316966,6.21341975645281,2.5099211860776e-19
"10","GTR","strict","yule",-7406.97908815258,5.13527561335387,0.00000000142671619981403
"11","HKY","relaxed_log_normal","birth_death",-7410.66751463623,6.36290346591429,3.56840651626559e-11
"12","HKY","relaxed_log_normal","coalescent_bayesian_skyline",-7403.95507882072,4.35859033568737,0.0000000293527069405221
"13","HKY","relaxed_log_normal","coalescent_constant_population",-7392.6966091503,3.36858004719338,0.00227582786778148
"14","HKY","relaxed_log_normal","coalescent_exp_population",-7405.00708973258,5.44929541894682,0.0000000102509856283344
"15","HKY","relaxed_log_normal","yule",-7415.75692518299,5.22674168829976,2.19872749441245e-13
"16","HKY","strict","birth_death",-7401.22144919793,4.96927704435694,0.000000451698261773553
"17","HKY","strict","coalescent_bayesian_skyline",-7407.74919311759,5.71694795091149,0.00000000066051891027031
"18","HKY","strict","coalescent_constant_population",-7405.37251819489,5.41735840201887,0.00000000711315152102825
"19","HKY","strict","coalescent_exp_population",-7415.3165609177,6.13234040962136,3.41522387307584e-13
"20","HKY","strict","yule",-7413.12311856537,5.96300414151941,3.06209801243313e-12
"21","JC69","relaxed_log_normal","birth_death",-7396.14232019872,4.14143328349298,0.000072558135877219
"22","JC69","relaxed_log_normal","coalescent_bayesian_skyline",-7403.67527852403,4.76332375800534,0.0000000388296864345294
"23","JC69","relaxed_log_normal","coalescent_constant_population",-7401.10252561877,4.58897745819743,0.00000050874045434726
"24","JC69","relaxed_log_normal","coalescent_exp_population",-7400.92497613308,5.2601654575563,0.000000607582190651113
"25","JC69","relaxed_log_normal","yule",-7394.73399943161,4.45573029579213,0.000296696248105628
"26","JC69","strict","birth_death",-7386.62112066264,2.60323140765827,0.990126162414784
"27","JC69","strict","coalescent_bayesian_skyline",-7410.51305503517,6.27160360213415,4.16442721694983e-11
"28","JC69","strict","coalescent_constant_population",-7399.97051897727,4.33863375365844,0.00000157804909821595
"29","JC69","strict","coalescent_exp_population",-7401.87258340686,4.3611051461967,0.000000235539866950209
"30","TN93","relaxed_log_normal","birth_death",-7404.46111963968,4.50747270867132,0.000000017696094273588
"31","TN93","relaxed_log_normal","coalescent_bayesian_skyline",-7414.57064177903,7.34514749138151,7.20058437085655e-13
"32","TN93","relaxed_log_normal","coalescent_constant_population",-7392.0245637574,4.19554307198599,0.00445661396504459
"33","TN93","relaxed_log_normal","coalescent_exp_population",-7398.2494143192,4.15288103764748,0.00000882240046201268
"34","TN93","relaxed_log_normal","yule",-7403.16694963522,4.45451538926981,0.0000000645547665406183
"35","TN93","strict","birth_death",-7400.88737359305,4.88273579437002,0.000000630863805026034
"36","TN93","strict","coalescent_bayesian_skyline",-7405.21237585967,3.97244148014682,0.00000000834854884492946
"37","TN93","strict","coalescent_constant_population",-7410.58130655617,5.33975373698149,3.88968128431938e-11
"38","TN93","strict","coalescent_exp_population",-7408.8376705231,5.43298230155129,0.000000000222415743341575
"39","TN93","strict","yule",-7399.23541090763,4.94877002440226,0.00000329134865327155
